Date ,Open,Close,Label
12/23/2011,"2,607.43","2,618.64",1
12/22/2011,"2,584.33","2,599.45",1
12/21/2011,"2,589.77","2,577.97",0
12/20/2011,"2,567.25","2,603.73",1
12/19/2011,"2,564.07","2,523.14",0
12/16/2011,"2,554.62","2,555.33",1
12/15/2011,"2,565.93","2,541.01",0
12/14/2011,"2,566.21","2,539.31",0
12/13/2011,"2,629.67","2,579.27",0
12/12/2011,"2,617.32","2,612.26",0
12/9/2011,"2,603.18","2,646.85",1
12/8/2011,"2,633.30","2,596.38",0
12/7/2011,"2,638.61","2,649.21",1
12/6/2011,"2,655.02","2,649.56",0
12/5/2011,"2,666.47","2,655.76",0
12/2/2011,"2,650.80","2,626.93",0
12/1/2011,"2,615.67","2,626.20",1
11/30/2011,"2,586.39","2,620.34",1
11/29/2011,"2,529.11","2,515.51",0
11/28/2011,"2,509.63","2,527.34",1
11/25/2011,"2,453.03","2,441.51",0
11/23/2011,"2,501.18","2,460.08",0
11/22/2011,"2,517.64","2,521.28",1
11/21/2011,"2,535.34","2,523.14",0
11/18/2011,"2,595.02","2,572.50",0
11/17/2011,"2,637.37","2,587.99",0
11/16/2011,"2,661.09","2,639.61",0
11/15/2011,"2,647.91","2,686.20",1
11/14/2011,"2,671.11","2,657.22",0
11/11/2011,"2,653.53","2,678.75",1
11/10/2011,"2,652.01","2,625.15",0
11/9/2011,"2,662.56","2,621.65",0
11/8/2011,"2,712.08","2,727.49",1
11/7/2011,"2,683.38","2,695.25",1
11/4/2011,"2,678.16","2,686.15",1
11/3/2011,"2,666.21","2,697.97",1
11/2/2011,"2,637.56","2,639.98",1
11/1/2011,"2,607.31","2,606.96",0
10/31/2011,"2,705.89","2,684.41",0
10/28/2011,"2,724.03","2,737.15",1
10/27/2011,"2,720.59","2,738.63",1
10/26/2011,"2,660.42","2,650.67",0
10/25/2011,"2,685.86","2,638.42",0
10/24/2011,"2,644.83","2,699.44",1
10/21/2011,"2,630.30","2,637.46",1
10/20/2011,"2,605.42","2,598.62",0
10/19/2011,"2,642.89","2,604.04",0
10/18/2011,"2,614.05","2,657.43",1
10/17/2011,"2,653.32","2,614.92",0
10/14/2011,"2,655.23","2,667.85",1
10/13/2011,"2,595.05","2,620.24",1
10/12/2011,"2,606.61","2,604.73",0
10/11/2011,"2,554.70","2,583.03",1
10/10/2011,"2,522.72","2,566.05",1
10/7/2011,"2,509.61","2,479.35",0
10/6/2011,"2,459.05","2,506.82",1
10/5/2011,"2,398.37","2,460.51",1
10/4/2011,"2,312.68","2,404.82",1
10/3/2011,"2,401.19","2,335.83",0
9/30/2011,"2,444.77","2,415.40",0
9/29/2011,"2,535.52","2,480.76",0
9/28/2011,"2,557.86","2,491.58",0
9/27/2011,"2,560.78","2,546.83",0
9/26/2011,"2,496.98","2,516.69",1
9/23/2011,"2,438.63","2,483.23",1
9/22/2011,"2,466.06","2,455.67",0
9/21/2011,"2,601.06","2,538.19",0
9/20/2011,"2,623.89","2,590.24",0
9/19/2011,"2,584.35","2,612.83",1
9/16/2011,"2,607.12","2,622.31",1
9/15/2011,"2,595.45","2,607.07",1
9/14/2011,"2,548.45","2,572.55",1
9/13/2011,"2,502.59","2,532.15",1
9/12/2011,"2,442.86","2,495.09",1
9/9/2011,"2,508.12","2,467.99",0
9/8/2011,"2,533.81","2,529.14",0
9/7/2011,"2,511.50","2,548.94",1
9/6/2011,"2,417.61","2,473.83",1
9/2/2011,"2,497.28","2,480.33",0
9/1/2011,"2,583.34","2,546.04",0
8/31/2011,"2,589.75","2,579.46",0
8/30/2011,"2,547.07","2,576.11",1
8/29/2011,"2,510.99","2,562.11",1
8/26/2011,"2,408.79","2,479.85",1
8/25/2011,"2,470.96","2,419.63",0
8/24/2011,"2,437.48","2,467.69",1
8/23/2011,"2,360.95","2,446.06",1
8/22/2011,"2,396.88","2,345.38",0
8/19/2011,"2,353.32","2,341.84",0
8/18/2011,"2,436.38","2,380.43",0
8/17/2011,"2,527.79","2,511.48",0
8/16/2011,"2,526.48","2,523.45",0
8/15/2011,"2,522.04","2,555.20",1
8/12/2011,"2,507.01","2,507.98",1
8/11/2011,"2,415.54","2,492.68",1
8/10/2011,"2,425.55","2,381.05",0
8/9/2011,"2,402.13","2,482.52",1
8/8/2011,"2,447.30","2,357.69",0
8/5/2011,"2,580.30","2,532.41",0
8/4/2011,"2,648.38","2,556.39",0
8/3/2011,"2,673.97","2,693.07",1
8/2/2011,"2,728.29","2,669.24",0
8/1/2011,"2,791.45","2,744.61",0
7/29/2011,"2,736.67","2,756.38",1
7/28/2011,"2,765.61","2,766.25",1
7/27/2011,"2,823.62","2,764.79",0
7/26/2011,"2,842.74","2,839.96",0
7/25/2011,"2,832.11","2,842.80",1
7/22/2011,"2,834.46","2,858.83",1
7/21/2011,"2,818.79","2,834.43",1
7/20/2011,"2,839.39","2,814.23",0
7/19/2011,"2,790.98","2,826.52",1
7/18/2011,"2,777.61","2,765.11",0
7/15/2011,"2,787.33","2,789.80",1
7/14/2011,"2,804.82","2,762.67",0
7/13/2011,"2,800.88","2,796.92",0
7/12/2011,"2,798.75","2,781.91",0
7/11/2011,"2,828.10","2,802.62",0
7/8/2011,"2,841.29","2,859.81",1
7/7/2011,"2,856.25","2,872.66",1
7/6/2011,"2,821.42","2,834.02",1
7/5/2011,"2,817.87","2,825.77",1
7/1/2011,"2,775.08","2,816.03",1
6/30/2011,"2,749.37","2,773.52",1
6/29/2011,"2,736.76","2,740.49",1
6/28/2011,"2,694.26","2,729.31",1
6/27/2011,"2,653.07","2,688.28",1
6/24/2011,"2,681.10","2,652.89",0
6/23/2011,"2,638.60","2,686.75",1
6/22/2011,"2,677.18","2,669.19",0
6/21/2011,"2,640.33","2,687.26",1
6/20/2011,"2,608.05","2,629.66",1
6/17/2011,"2,646.29","2,616.48",0
6/16/2011,"2,631.98","2,623.70",0
6/15/2011,"2,653.17","2,631.46",0
6/14/2011,"2,662.73","2,678.72",1
6/13/2011,"2,649.30","2,639.69",0
6/10/2011,"2,675.10","2,643.73",0
6/9/2011,"2,678.52","2,684.87",1
6/8/2011,"2,693.69","2,675.38",0
6/7/2011,"2,712.79","2,701.56",0
6/6/2011,"2,728.31","2,702.56",0
6/3/2011,"2,740.49","2,732.78",0
6/2/2011,"2,773.76","2,773.31",0
6/1/2011,"2,829.39","2,769.19",0
5/31/2011,"2,824.25","2,835.30",1
5/27/2011,"2,789.02","2,796.86",1
5/26/2011,"2,756.31","2,782.92",1
5/25/2011,"2,739.99","2,761.38",1
5/24/2011,"2,766.70","2,746.16",0
5/23/2011,"2,761.96","2,758.90",0
